Polling Unit Code,Polling Unit Name,Ward,LGA,State,Latitude,Longitude
24-16-14-020,"4, ADEYINKA ST.",Ilupeju Industrial Estate,Mushin,Lagos,6.54865,3.3568
19-01-03-013,"YANKINTAJ/BANAGO,YANKINTAPS",Chula,Ajingi,Kano,11.99102,8.96795
29-07-04-001,59 ALAKAS COMPOUND,Olusokun,Ede North,Osun,7.744077,4.503294
16-08-12-021,AMAEKE UMUEHIHIE VILLAGE SQUARE,Uzoagba,Ikeduru,Imo,5.59241,7.67706
22-12-06-005,"EBWA AREA OPEN SPACE, EBWA",Kupa North East,Lokoja,Kogi,8.01411,6.7621
33-23-08-005,ALKAIJE,Kilgori,Yabo,Sokoto,12.7219,5.01223
34-05-08-001,"BAKINKASUWA,DOMAYOBABBA",Sendirde,Gassol,Taraba,8.52615,10.38067
08-06-05-012,Bula,Kautikari,Chibok,Borno,10.86921,12.84791
13-04-01-003,"MARKET CENTRE, ERUKU",Eruku,Ekiti,Kwara,8.13828,5.42014
12-12-08-026,"IKPOBA I, EDO COLLEGE I",Oredo,Oredo,Edo,6.34228,5.61806
